"time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","Budget.function.N","Budget.function.S","Run.ID","Policy.Duration","Budget.N","Budget.S"
2012,120.124979789264,246.506398106631,24.8245156001451,75.1125940894952,2402.713,1.61871563587981,0.381644384388694,0.27622475703656,1.90269291002036,86.669070044181,0.383250627735368,45.55074,0.349563574314308,0.72377524296344,1.17543370055001,227.093790946262,1.00420874356437,193.2,0.650436425685692,313.762860990443,2.0997008564004,0.226821986293263,0.739543271403495,2.32567058853324,64.7040163861718,0.286121160459652,27.82166,0.273822637161906,3.26045672859651,1.10761996474118,285.263423725222,1.26143485971293,257.5463,0.726177362838094,349.967440111394,0.959295235776013,0.25,0.25,0.25,0.25,1,4,279.594085428584,77.9639964708158,0.996416037514894,0.987147212064628,381.524,0.997949499956105,0,9.9,0,0,0,0,0,0,0,0,0,0,0,4360,245,1915.53651800352,4012.73780801579
2017,121.174352900117,250.557987784378,25.4670499606042,78.252619356151,2388.22677994162,1.62698426995342,0.377775067455829,0.274192120600223,1.90973239347189,87.2624981796285,0.385874766950317,45.6935738629775,0.346249590284667,0.725807879399777,1.17378663625713,230.990622984487,1.0214405348374,196.790980446881,0.653750409715333,318.253121164115,2.12147814950235,0.222189163495681,0.727184203990746,2.34535062172288,66.0955161345456,0.292274372346961,28.181507499289,0.264413107553565,3.27281579600925,1.1055266453124,297.474076119066,1.31543036459851,269.079065059537,0.735586892446435,363.569592253611,1.08193212765802,0.25,0.25,0.25,0.25,1,4,283.595356269343,80.9942159142982,0.924978452740712,0.916769086961829,396.010220058381,0.997353111515017,0,9.9,0,0,0,0,0,0,0,0,-2.94568597807603,0,0,4360,245,1915.53651800352,4012.73780801579
2022,122.251450337117,254.637620983191,26.1008524131499,81.4303581447477,2373.0237678638,1.57909389787991,0.881077572017954,0.468389812905358,1.86910072984887,170.442609206738,2.26109165373659,82.0706695130699,0.816259470602821,0.531610187094642,1.18365395012818,174.103113230691,0.769883966706117,147.089538468432,0.183740529397179,319.649054896165,2.14322717935951,0.478292576850492,1.29417568440882,2.36504180562317,122.072072441483,1.07960540867247,51.6151858927997,0.487752912646559,2.70582431559118,1.10349562024962,255.22468537002,1.12860355870623,231.287447531767,0.512247087353441,370.034194171837,1.20590382242062,0.25,0.25,0.25,0.25,1,4,282.128025722729,82.2366443115412,0.858602830459385,0.851154236140549,411.213232136201,0.996661575430499,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-3.11093625656658,48.5975181669535,76.0276029066696,4360,245,1915.53651800352,4012.73780801579
2027,124.782735420776,255.787577380114,27.2891027468882,83.6281526127445,2362.33529655821,1.56226873863724,0.900157640034652,0.47372787450321,1.85490797931412,173.963986764466,2.3078062484174,84.4071996207123,0.823271621750101,0.526272125496789,1.18731683828747,173.93352133521,0.769134031344296,146.492929036603,0.176728378249899,322.539072251966,2.11769482448421,0.489895337857576,1.31524765642137,2.34192898475748,127.820161738877,1.13044151041863,54.5790084032432,0.494171095759468,2.68475234357863,1.10588596509787,260.913203007532,1.15375818369931,235.931381030269,0.505828904240532,381.164228890183,1.2903480206104,0.25,0.25,0.25,0.25,1,4,284.653033619912,84.7077913673247,0.797030691586826,0.790372411467494,421.901703441794,0.996137302576443,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-2.15209646798725,48.4644407081482,77.7087401470503,4360,245,1915.53651800352,4012.73780801579
2032,127.388771778614,256.897668076172,28.5106216266937,85.783730760066,2351.41424263733,1.54525965555641,0.920083251057694,0.47918924898223,1.84060517305867,177.581049104087,2.35579019741482,86.8317369379599,0.830287648232936,0.52081075101777,1.19113002558519,173.704872912263,0.768122948018026,145.831999178196,0.169712351767064,325.455557223995,2.09183209981793,0.502084033376855,1.33703314121012,2.31856885466632,133.737540779854,1.18277481065702,57.6810736117219,0.501227352926971,2.66296685878988,1.10839146930967,266.364855062963,1.17786538908842,240.316587088911,0.498772647073029,392.221392631937,1.37444828589518,0.25,0.25,0.25,0.25,1,4,287.200520316414,87.1625604311636,0.739873717771329,0.733914293697845,432.82275736267,0.995570636600977,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-2.19769230076506,48.3113837479945,79.3180691135602,4360,245,1915.53651800352,4012.73780801579
2037,130.072034158463,257.967350032554,29.7680288155296,87.8946797307893,2340.2763417169,1.5280767609912,0.940891867747304,0.484772945563088,1.82620332588717,181.296284431235,2.40507650926476,89.3474749909599,0.837293470285403,0.515227054436912,1.19509920738706,173.417011647435,0.766850025504959,145.106791616564,0.162706529714597,328.400690879658,2.06558172275568,0.514926559216633,1.35960797857528,2.29491347405132,139.836636624727,1.23671521430909,60.9332936539288,0.508961436228069,2.64039202142472,1.11102526168255,271.566176033847,1.20086563042167,244.428444068485,0.491038563771931,403.204433535339,1.45806049489106,0.25,0.25,0.25,0.25,1,4,289.772412936691,89.6006668092051,0.686815349690018,0.681474909266832,443.960658283103,0.994961710555283,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-2.24009345330127,48.1382238136873,80.8514952029996,4360,245,1915.53651800352,4012.73780801579
2042,132.835042001818,258.9961922425,31.0641344441927,89.9584910308528,2328.93812087296,1.51073089808734,0.962622112275961,0.490477563793293,1.8117140631004,185.112184712134,2.45569824239117,91.957649186547,0.844274508141175,0.509522436206707,1.19923016428282,173.06995561012,0.76531534370795,144.317547010354,0.155725491858825,331.376838837519,2.03889352287353,0.528495099322948,1.38304689248149,2.27092201486877,146.130633673974,1.29237932421262,64.3485917689771,0.517413398638274,2.61695310751851,1.11380118156844,276.503289928668,1.22269754806457,248.251927277812,0.482586601361726,414.112463255742,1.54104904667,0.25,0.25,0.25,0.25,1,4,292.370803756426,92.0219072438537,0.637561721295152,0.632770367203141,455.298879127036,0.994310871799371,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-2.2791412385387,47.9448879988736,82.3047973164942,4360,245,1915.53651800352,4012.73780801579
2047,135.680356570769,259.983880880176,32.4019468250199,91.9725652705249,2317.41690998086,1.49323361154908,0.985313748931896,0.496301277046007,1.79714958160413,189.031242022592,2.5076884566717,94.6655301048881,0.851215791135082,0.503698722953993,1.2035287497579,172.663903253919,0.763519780188828,143.464710160561,0.148784208864918,334.386553811638,2.01172410874168,0.542866716682454,1.40742349501129,2.24656045760904,152.633477102831,1.34989047149743,67.9409612974649,0.526622854376987,2.59257650498871,1.11673387411669,281.161972934349,1.24329824431569,251.771688359272,0.473377145623013,424.945029271297,1.62328639189303,0.25,0.25,0.25,0.25,1,4,294.997952491026,94.426176190562,0.591840033175604,0.587536479848832,466.82009001914,0.993618681574497,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-2.31467460389825,47.7313558282274,83.6736466445559,4360,245,1915.53651800352,4012.73780801579
2052,138.610577972088,260.930223466572,33.7846780064822,93.9342198262872,2305.73084784596,1.47559711010247,1.00900766385417,0.502241819186715,1.78252260331889,193.055945257116,2.5610801697809,97.4744165419822,0.858102079872302,0.497758180813285,1.20800087714668,172.199237880631,0.76146502990815,142.548934473763,0.141897920127698,337.432576866945,1.98403675121992,0.558123914878178,1.43281008538224,2.22180148307433,159.359860089638,1.40937860263276,71.7255170201478,0.536628001558098,2.56718991461776,1.11983887481329,285.527740061849,1.2626036665535,254.972162945723,0.463371998441902,435.702196207995,1.70465256917999,0.25,0.25,0.25,0.25,1,4,297.656287423244,96.8134841378745,0.549397042512574,0.545527458105759,478.506152154042,0.992885914567215,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-2.34653151332605,47.4976606898272,84.9536327172383,4360,245,1915.53651800352,4012.73780801579
2057,141.62834213785,261.835152005516,35.2157462618163,95.8407002056221,2293.89888198571,1.45783422092931,1.03374584219947,0.508296474785408,1.76784632129395,197.188777304325,2.61590631971917,100.387628401995,0.864917999847014,0.491703525214592,1.21265250596671,171.676530467387,0.759153617726785,141.571084562703,0.135082000152986,340.517837377265,1.95580145514613,0.574355159966373,1.45927723190145,2.19662453140079,166.325190677507,1.47097998635187,75.7185346425325,0.547464366869491,2.54072276809855,1.12313268078465,289.585960518306,1.28054911741195,257.837711850745,0.452535633130509,446.384636863227,1.78503475957176,0.25,0.25,0.25,0.25,1,4,300.348405360925,99.1839781245006,0.509997661272085,0.506514680753834,490.338118014295,0.992113558408983,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-2.37455100422938,47.2438908123046,86.1402981623159,4360,245,1915.53651800352,4012.73780801579
